model,term,estimate,hc3_se,p_value,ci95_low,ci95_high,n,df_resid,r_squared,adj_r_squared,condition_number
PRIMARY,const,0.004634992439118219,0.24214771495575863,0.985105015063609,-0.5349037391735054,0.5441737240517419,13,10.0,0.22955002016566628,0.0754600241987996,203.06082138663035
PRIMARY,delta_ff10,-4.303743831038646,44.72838738406051,0.9252472252803401,-103.96480154815659,95.3573138860793,13,10.0,0.22955002016566628,0.0754600241987996,203.06082138663035
PRIMARY,delta_pre_gw,0.4552917522806856,0.2652011381292466,0.11677639831533637,-0.13561320717606734,1.0461967117374384,13,10.0,0.22955002016566628,0.0754600241987996,203.06082138663035
W1_PRECIP,const,-0.2806674453928608,0.48649860733977673,0.5781407468311249,-1.3812037546778881,0.8198688638921665,13,9.0,0.3297486799738555,0.10633157329847398,22890.71971451317
W1_PRECIP,delta_ff10,-39.08401974141645,261.3459822506827,0.8844181062667507,-630.2897054583309,552.121665975498,13,9.0,0.3297486799738555,0.10633157329847398,22890.71971451317
W1_PRECIP,delta_pre_gw,0.5743107959158583,0.23399071736867025,0.03649134461502831,0.04498701859203058,1.103634573239686,13,9.0,0.3297486799738555,0.10633157329847398,22890.71971451317
W1_PRECIP,delta_P_A8,0.005813557616921047,0.007204350871336714,0.44049781176161,-0.010483816309984791,0.022110931543826883,13,9.0,0.3297486799738555,0.10633157329847398,22890.71971451317
W2_TEMP,const,-1.5824550533540733,1.8380599842299172,0.41162095062526277,-5.740435612332536,2.5755255056243893,13,9.0,0.32211122566151185,0.09614830088201587,276.6420293919554
W2_TEMP,delta_ff10,-12.934602150694014,315.6891707255475,0.968212293456519,-727.0731209253166,701.2039166239286,13,9.0,0.32211122566151185,0.09614830088201587,276.6420293919554
W2_TEMP,delta_pre_gw,0.4404282271997337,0.3557808021239702,0.24706501625642377,-0.3644038627110962,1.2452603171105636,13,9.0,0.32211122566151185,0.09614830088201587,276.6420293919554
W2_TEMP,delta_T_A8,-1.776676946559439,2.4203691977767448,0.4816018011608463,-7.251932463926247,3.698578570807369,13,9.0,0.32211122566151185,0.09614830088201587,276.6420293919554
W3_PRECIP_TEMP,const,-0.9804330225531823,2.5023925427609544,0.7054373605378212,-6.75096057406401,4.7900945289576455,13,8.0,0.34032490497082024,0.010487357456230306,25944.570583571487
W3_PRECIP_TEMP,delta_ff10,-30.86601324758115,395.45713477915814,0.9397040065322813,-942.7918013443109,881.0597748491487,13,8.0,0.34032490497082024,0.010487357456230306,25944.570583571487
W3_PRECIP_TEMP,delta_pre_gw,0.5237248039990681,0.3563406891371984,0.17983231149186885,-0.2979982986928136,1.3454479066909497,13,8.0,0.34032490497082024,0.010487357456230306,25944.570583571487
W3_PRECIP_TEMP,delta_P_A8,0.0037099877761269744,0.009902214783631316,0.7176483532249314,-0.019124560462606664,0.02654453601486061,13,8.0,0.34032490497082024,0.010487357456230306,25944.570583571487
W3_PRECIP_TEMP,delta_T_A8,-0.8989218108085488,3.3630144518958947,0.7960025876403595,-8.654047043631852,6.856203422014755,13,8.0,0.34032490497082024,0.010487357456230306,25944.570583571487
