station,leverage,cooks_distance
PO018003NR0009,0.9899702081865613,1.0071703164326227
PO018043NUP001,0.12479880953478914,6.158998124217699e-06
PO018047NR0001,0.47017651300778246,0.010317035582526434
PO0180480U0004,0.23695470506038196,0.14728845526434553
PO018048NRP001,0.18817556718488915,0.006911932995223556
PO018072NUP001,0.11582508056013688,0.009457601799693712
PO0180810U0111,0.16709526120871007,0.0009900274384911272
PO0181100U0111,0.1676938455066915,0.18273714054222012
PO0181140U0002,0.11792510685564189,0.00657245622917336
PO018162NUP001,0.09322232249097576,0.13709601642962346
PO018173NUP001,0.08617968924773844,0.0007914750755129258
PO018176NUP001,0.12240393791191695,0.11944682376507725
PO018180NUP001,0.1195789532437809,0.0163933543502609
