filename,year,size_bytes,sha256,product,version,tile
MOD09A1.A2015065.h18v04.061.2021320200022.hdf,2015,70316330,e1ec31eb6a2c657eb7c55f27e932d531403f85bdf98567d6b60142f841f9b0d0,MOD09A1,061,h18v04
MOD09A1.A2015073.h18v04.061.2021321073548.hdf,2015,68513190,0fcbf720efb6aed4387e365c6679250a8968b9ac88ac9d9ded3fe3ea3fa12a1f,MOD09A1,061,h18v04
MOD09A1.A2015081.h18v04.061.2021321173516.hdf,2015,70356615,aa0d0549312258dacaf8cc3bea48533f1a08dc716ba34dbd710da3f325083f81,MOD09A1,061,h18v04
MOD09A1.A2015089.h18v04.061.2021321235341.hdf,2015,67431083,2a6ade2e84ea16005a029db229beae243a19c7bfc4ffa56c12486ee7391365a4,MOD09A1,061,h18v04
MOD09A1.A2015097.h18v04.061.2021323032236.hdf,2015,69116746,4d9d18d84c65ec9413d29802752883e49a827e3f6dd9dbf34f18f164401ffbc0,MOD09A1,061,h18v04
MOD09A1.A2015105.h18v04.061.2021323050920.hdf,2015,68441446,5195c0d8f3fddd6c1dd6aee4bf70afd82236a74aded21a0dd92aaa1c6718bbc5,MOD09A1,061,h18v04
MOD09A1.A2015113.h18v04.061.2021323161517.hdf,2015,69615752,72f0b4dfee9813af0e26ab0b40b17d50ca4c3b3e3d76e246c70d791ad500f04a,MOD09A1,061,h18v04
MOD09A1.A2015121.h18v04.061.2021323231446.hdf,2015,73453684,38537a799f31fc14d0156aa4a188454239390b56a527b9b62580584759fdedf8,MOD09A1,061,h18v04
MOD09A1.A2015129.h18v04.061.2021326033106.hdf,2015,68494512,a02da20900b2b671a25776e6e8271be3d0ae5ce9cb75f14fb75d8b12fb41be64,MOD09A1,061,h18v04
MOD09A1.A2015137.h18v04.061.2021326052146.hdf,2015,69132157,7b5c8a1e3719cb152c75757615c9b3731044d22f04b70dc929881f6c9f5a0ec3,MOD09A1,061,h18v04
MOD09A1.A2015145.h18v04.061.2021326071452.hdf,2015,73327718,7f9ec1a733616a7fda949b27fae99ab0a91c189aa418bde0c733804ed1968769,MOD09A1,061,h18v04
MOD09A1.A2015153.h18v04.061.2021326084610.hdf,2015,70641914,88e0d3ba1102404e178af5a72eecc1fe16d127964f52336edd4883f741123cbe,MOD09A1,061,h18v04
MOD09A1.A2015161.h18v04.061.2021326111904.hdf,2015,70178305,dfb7695999df6356c1e85d3418c7c6bfd96d9ce6b3444bbd18f204d6b78a2ac1,MOD09A1,061,h18v04
MOD09A1.A2015169.h18v04.061.2021326163254.hdf,2015,71293005,e9c6e638614d82647d001f8b19b7c6d195db3f00db142d259d929a2ee4fa77ee,MOD09A1,061,h18v04
MOD09A1.A2015177.h18v04.061.2021326223840.hdf,2015,69182940,d2d2bd1ff8228b7fc5316cfe475747cf9709fdda5bf4bed0cbe56fb9e7c5ac23,MOD09A1,061,h18v04
