source_file,composite_start_doy,rows,unique_rice_cells,valid_reflectance_rows,valid_doy_rows,ndvi_nonmissing,ndfi_nonmissing,pixel_doy_min,pixel_doy_max
MOD09A1.A2015065.h18v04.061.2021320200022.hdf,65,17324,4331,17324,17324,17324,17324,65,72
MOD09A1.A2015073.h18v04.061.2021321073548.hdf,73,17324,4331,17324,17324,17324,17324,73,80
MOD09A1.A2015081.h18v04.061.2021321173516.hdf,81,17324,4331,17324,17324,17324,17324,85,88
MOD09A1.A2015089.h18v04.061.2021321235341.hdf,89,17324,4331,17324,17324,17324,17324,89,96
MOD09A1.A2015097.h18v04.061.2021323032236.hdf,97,17324,4331,17324,17324,17324,17324,97,104
MOD09A1.A2015105.h18v04.061.2021323050920.hdf,105,17324,4331,17324,17324,17324,17324,105,112
MOD09A1.A2015113.h18v04.061.2021323161517.hdf,113,17324,4331,17324,17324,17324,17324,113,120
MOD09A1.A2015121.h18v04.061.2021323231446.hdf,121,17324,4331,17324,17324,17324,17324,122,128
MOD09A1.A2015129.h18v04.061.2021326033106.hdf,129,17324,4331,17324,17324,17324,17324,129,136
MOD09A1.A2015137.h18v04.061.2021326052146.hdf,137,17324,4331,17324,17324,17324,17324,137,144
MOD09A1.A2015145.h18v04.061.2021326071452.hdf,145,17324,4331,17324,17324,17324,17324,145,150
MOD09A1.A2015153.h18v04.061.2021326084610.hdf,153,17324,4331,17324,17324,17324,17324,153,158
MOD09A1.A2015161.h18v04.061.2021326111904.hdf,161,17324,4331,17324,17324,17324,17324,161,168
MOD09A1.A2015169.h18v04.061.2021326163254.hdf,169,17324,4331,17324,17324,17324,17324,169,176
MOD09A1.A2015177.h18v04.061.2021326223840.hdf,177,17324,4331,17324,17324,17324,17324,177,184
