source_file,composite_start_doy,rows,unique_rice_cells,valid_reflectance_rows,valid_doy_rows,ndvi_nonmissing,ndfi_nonmissing,pixel_doy_min,pixel_doy_max
MOD09A1.A2016065.h18v04.061.2021346125053.hdf,65,17324,4331,17324,17324,17324,17324,67,72
MOD09A1.A2016073.h18v04.061.2021346154651.hdf,73,17324,4331,17324,17324,17324,17324,74,80
MOD09A1.A2016081.h18v04.061.2021346185114.hdf,81,17324,4331,17324,17324,17324,17324,81,87
MOD09A1.A2016089.h18v04.061.2021347053033.hdf,89,17324,4331,17324,17324,17324,17324,89,96
MOD09A1.A2016097.h18v04.061.2021348024832.hdf,97,17324,4331,17324,17324,17324,17324,97,104
MOD09A1.A2016105.h18v04.061.2021348072517.hdf,105,17324,4331,17324,17324,17324,17324,105,112
MOD09A1.A2016113.h18v04.061.2021348185421.hdf,113,17324,4331,17324,17324,17324,17324,113,120
MOD09A1.A2016121.h18v04.061.2021349044837.hdf,121,17324,4331,17324,17324,17324,17324,121,128
MOD09A1.A2016129.h18v04.061.2021349214806.hdf,129,17324,4331,17324,17324,17324,17324,129,136
MOD09A1.A2016137.h18v04.061.2021350090650.hdf,137,17324,4331,17324,17324,17324,17324,137,144
MOD09A1.A2016145.h18v04.061.2021350182706.hdf,145,17324,4331,17324,17324,17324,17324,145,152
MOD09A1.A2016153.h18v04.061.2021351111903.hdf,153,17324,4331,17324,17324,17324,17324,153,160
MOD09A1.A2016161.h18v04.061.2021351191407.hdf,161,17324,4331,17324,17324,17324,17324,161,168
MOD09A1.A2016169.h18v04.061.2021353043918.hdf,169,17324,4331,17324,17324,17324,17324,169,176
MOD09A1.A2016177.h18v04.061.2021353064621.hdf,177,17324,4331,17324,17324,17324,17324,177,184
