year,rows,rice_cells,composites,valid_b01,valid_b02,valid_b07,ndvi_nonmissing,ndfi_nonmissing
2017,259860,4331,15,259860,259860,259858,259860,259858
2018,259860,4331,15,259860,259860,259860,259860,259860
2019,259860,4331,15,259860,259860,259857,259860,259857
2020,259860,4331,15,259860,259860,259860,259860,259860
2021,259860,4331,15,259860,259860,259859,259860,259859
