source_file,composite_start_doy,rows,unique_rice_cells,valid_reflectance_rows,valid_doy_rows,ndvi_nonmissing,ndfi_nonmissing,pixel_doy_min,pixel_doy_max
MOD09A1.A2022065.h18v04.061.2022074041439.hdf,65,17324,4331,17324,17324,17324,17324,65,72
MOD09A1.A2022073.h18v04.061.2022101234022.hdf,73,17324,4331,17324,17324,17324,17324,78,80
MOD09A1.A2022081.h18v04.061.2022097045817.hdf,81,17324,4331,17324,17324,17324,17324,81,88
MOD09A1.A2022089.h18v04.061.2022098040906.hdf,89,17324,4331,17324,17324,17324,17324,90,95
MOD09A1.A2022097.h18v04.061.2022121000458.hdf,97,17324,4331,17324,17324,17324,17324,97,104
MOD09A1.A2022105.h18v04.061.2022118025506.hdf,105,17324,4331,17324,17324,17324,17324,105,109
MOD09A1.A2022113.h18v04.061.2022122192244.hdf,113,17324,4331,17324,17324,17324,17324,114,120
MOD09A1.A2022121.h18v04.061.2022134044538.hdf,121,17324,4331,17324,17324,17324,17324,121,127
MOD09A1.A2022129.h18v04.061.2022141153934.hdf,129,17324,4331,17324,17324,17324,17324,129,136
MOD09A1.A2022137.h18v04.061.2022146052851.hdf,137,17324,4331,17324,17324,17324,17324,137,143
MOD09A1.A2022145.h18v04.061.2022158004222.hdf,145,17324,4331,17324,17324,17324,17324,146,152
MOD09A1.A2022153.h18v04.061.2022162062659.hdf,153,17324,4331,17324,17324,17324,17324,153,160
MOD09A1.A2022161.h18v04.061.2022170050317.hdf,161,17324,4331,17324,17324,17324,17324,161,168
MOD09A1.A2022169.h18v04.061.2022178215929.hdf,169,17324,4331,17324,17324,17324,17324,170,176
MOD09A1.A2022177.h18v04.061.2022186044243.hdf,177,17324,4331,17324,17324,17324,17324,177,184
