year,n,raw_mean,raw_sd,raw_min,raw_max,two_way_mean,two_way_sd,two_way_min,two_way_max,identifying_mean,identifying_sd,identifying_min,identifying_max
2022,12,-0.016014819677316435,0.008638332427775761,-0.0423782823441642,-0.008160975029997,3.8453037050819226e-17,0.009675061032418459,-0.0300965035239883,0.006419141476694094,5.2186264568968945e-17,0.009555099340014812,-0.029740804342209232,0.0062486564333569805
2023,12,-0.014002517990990592,0.008476479528822807,-0.039635623675835,-0.0061965789710374,-1.3010426069826053e-17,0.009409686300927585,-0.029366146541984994,0.006371235849327801,7.19910242530375e-17,0.009585702149779432,-0.02987658587233394,0.006756731821203547
2024,12,0.0855211737371876,0.01792806198052705,0.0696603032818015,0.1374866664847598,-3.700743415417188e-17,0.016596774616730446,-0.0172955736260115,0.0482324518904316,-1.9660199394403813e-16,0.01645786573814553,-0.01747079906777327,0.047510726230306055
2025,12,0.006093433868199975,0.0057341547215374,0.0012653368172556,0.0210566729008824,9.396418828207704e-19,0.005009582311260069,-0.006317970641656837,0.011230198175541852,7.336434700485246e-17,0.0053190379547723154,-0.006794549983259805,0.012106663984237705
