candidate,years,pearson_annual_means,spearman_annual_means,annual_mean_rmse
basic_clear__aggregate_then_index,2017-2021,0.988510174219467,0.9999999999999999,0.007305683237120186
basic_clear__index_then_aggregate,2017-2021,0.9907705113642917,0.9999999999999999,0.006765684585642985
strict__aggregate_then_index,2017-2021,0.9886821094543174,0.9999999999999999,0.0069899048120959815
strict__index_then_aggregate,2017-2021,0.9909181537655701,0.9999999999999999,0.0064433199942222266
valid__aggregate_then_index,2017-2021,0.9871875736406268,0.9999999999999999,0.007677654472954098
valid__index_then_aggregate,2017-2021,0.9895250033018578,0.9999999999999999,0.0071072931210563964
