distance_band,n_pairs,mean_distance_km,mean_residual_product,median_residual_product,mean_abs_residual_difference
20-40 km,88,28.038542172527745,-0.014551929792236108,-0.002271876804015016,0.38506482289210237
5-10 km,44,7.505069426716431,-0.01804534265927008,0.001294523130665969,0.3607807009322723
10-20 km,116,14.128229619424717,-0.00039967597729964345,-0.001684940469525839,0.3647848308452889
0-5 km,12,4.0956556244603375,-0.013334507614444614,-0.005986878021320672,0.3215332023041922
40+ km,4,42.02576025487225,-0.011399552914410764,-0.004258155075194974,0.3022813550029455
