year,split,observed_mean_ff,predicted_mean_ff,n
2010,extended_confirmation,0.20823621260524366,0.24275542680455248,3807
2011,extended_confirmation,0.139119667269255,0.1556438418285556,3865
2012,extended_confirmation,0.2075355462705722,0.23166450705417604,3678
2013,extended_confirmation,0.21989568518428138,0.2956194214804444,3636
2014,confirmation,0.1501879296677589,0.1406232818318608,3743
2015,confirmation,0.1164189600325247,0.1170426427925294,3637
2016,confirmation,0.1106054824887942,0.1307999652968833,3693
