year,station_i,station_j,distance_km,distance_band,residual_i,residual_j,residual_product,absolute_residual_difference
2022,PO018043NUP001,PO018047NR0001,30.93509827154443,20-40 km,-0.23506650633913617,0.16310015917978404,-0.03833938460174882,0.3981666655189202
2022,PO018043NUP001,PO0180480U0004,23.893556144898685,20-40 km,-0.23506650633913617,0.3206877645447648,-0.07538295243724535,0.555754270883901
2022,PO018043NUP001,PO018048NRP001,8.721982267372876,5-10 km,-0.23506650633913617,0.04588896105838325,-0.010786957755526818,0.2809554673975194
2022,PO018043NUP001,PO018072NUP001,5.875415302655979,5-10 km,-0.23506650633913617,-0.2881769521061188,0.06774074933904592,0.05311044576698265
2022,PO018043NUP001,PO0180810U0111,11.323829965859765,10-20 km,-0.23506650633913617,0.11486434565269166,-0.027000760435509173,0.34993085199182783
2022,PO018043NUP001,PO0181100U0111,8.67118444049256,5-10 km,-0.23506650633913617,0.7024011339629244,-0.1651109806093122,0.9374676403020605
2022,PO018043NUP001,PO0181140U0002,23.064263854343235,20-40 km,-0.23506650633913617,0.3682290833703332,-0.08655832416032673,0.6032955897094694
2022,PO018043NUP001,PO018162NUP001,13.089212894614445,10-20 km,-0.23506650633913617,-0.5526368352663771,0.12990641014038398,0.3175703289272409
2022,PO018043NUP001,PO018173NUP001,10.90346295966818,10-20 km,-0.23506650633913617,-0.3664387146053303,0.08613746842967879,0.1313722082661941
2022,PO018043NUP001,PO018176NUP001,4.372289574229461,0-5 km,-0.23506650633913617,-0.5344061258191934,0.12562098096255064,0.2993396194800573
2022,PO018043NUP001,PO018180NUP001,10.680178894710053,10-20 km,-0.23506650633913617,0.26155368636720144,-0.061482511274460194,0.4966201927063376
2022,PO018047NR0001,PO0180480U0004,42.02576025487225,40+ km,0.16310015917978404,0.3206877645447648,0.05230422544426024,0.15758760536498073
2022,PO018047NR0001,PO018048NRP001,28.054092682938343,20-40 km,0.16310015917978404,0.04588896105838325,0.007484496853217219,0.1172111981214008
2022,PO018047NR0001,PO018072NUP001,27.491266386404828,20-40 km,0.16310015917978404,-0.2881769521061188,-0.04700170676045298,0.45127711128590287
2022,PO018047NR0001,PO0180810U0111,25.284151735820604,20-40 km,0.16310015917978404,0.11486434565269166,0.018734393060035746,0.048235813527092386
