year,rows,rice_cells,seasonal_ndfi_nonmissing,ff_nonmissing,ff_mean,ff_sd,ff_min,ff_max,mean_composites_valid,min_composites_valid,mean_native_valid,min_native_valid
2022,4331,4331,4331,4331,0.0333274371955739,0.03385568500038882,0.003909330444223214,0.6325732668088141,15.0,15,4.0,4
2023,4331,4331,4331,4331,0.06267841146410304,0.06895761798489158,0.00593123601167126,0.7592386878116153,15.0,15,4.0,4
2024,4331,4331,4331,4331,0.20884250969107912,0.16252307242513764,0.013222508033779138,0.9823992928693116,15.0,15,4.0,4
2025,4331,4331,4331,4331,0.10821251120698405,0.11567233906138873,0.009184797074987877,0.9406276830710785,15.0,15,4.0,4
