station,n_rows,cluster_hat_trace,cluster_hat_share_of_design_rank,ff10_partial_ss,ff10_partial_leverage_share,ff10_partial_resid_min,ff10_partial_resid_max,ff10_partial_resid_sd,omitted_station,beta_minus_g,change_from_full_beta,coefficient_sign,remaining_wells,remaining_rows,ff10_partial_leverage_rank
PO018047NR0001,4,2.4627826940021063,0.14486957023541802,0.004180966246066846,0.7880095682826245,-0.02987658587233394,0.047510726230306055,0.037331694514924116,PO018047NR0001,26.435574593303,32.90002216564041,positive,11,44,1
PO0180480U0004,4,1.38045826316259,0.08120342724485823,0.00040986784592306484,0.07725003391802071,-0.01747079906777327,0.006756731821203547,0.011688567718402808,PO0180480U0004,-6.343423957801445,0.1210236145359608,negative,11,44,2
PO0181140U0002,4,1.3912793014302218,0.0818399589076601,0.00030793250623572637,0.05803772310462267,-0.015189934565291927,0.005406588752664617,0.010131345850638112,PO0181140U0002,-8.63450386466245,-2.170056292325045,negative,11,44,3
PO018173NUP001,4,1.349480035329946,0.07938117854882036,0.00010097442961575536,0.019031202838326735,-0.006794549983259805,0.00735272291254499,0.005801563858586044,PO018173NUP001,-8.056322406398388,-1.5918748340609827,negative,11,44,4
PO018180NUP001,4,1.2804483563292832,0.07532049154878137,7.51151765204581e-05,0.014157368019185141,-0.006649109619127722,0.004207767874857316,0.005003837744520304,PO018180NUP001,-6.670996965599874,-0.2065493932624686,negative,11,44,5
PO0180810U0111,4,1.292342948150119,0.07602017342059524,5.7007445892017e-05,0.010744505021661722,-0.006456756918765474,0.0031156919533658657,0.004359183635040587,PO0180810U0111,-6.407348356647665,0.0570992156897407,negative,11,44,6
PO0181100U0111,4,1.2851082580788922,0.07559460341640542,3.749092970280673e-05,0.007066120506812294,-0.003925710559642696,0.0034581147439122946,0.003535106302164369,PO0181100U0111,-7.259503083796442,-0.7950555114590365,negative,11,44,7
PO018048NRP001,4,1.3511011973648528,0.07947654102146193,3.504412542038839e-05,0.006604957925537122,-0.0047754902132234045,0.0025059877667899313,0.0034178026771786375,PO018048NRP001,-6.291143956461154,0.1733036158762519,negative,11,44,8
PO018072NUP001,4,1.2697643831337742,0.07469202253728083,3.482995151444838e-05,0.006564591398465548,-0.005015548104765381,0.0022893655531809505,0.003407342635860013,PO018072NUP001,-6.144264820535671,0.3201827518017346,negative,11,44,9
PO018162NUP001,4,1.2672508093244481,0.0745441652543793,2.4027945360020503e-05,0.004528678237400322,-0.00418308208539489,0.0018302397735982428,0.0028300733418070343,PO018162NUP001,-6.904247239726695,-0.4397996673892894,negative,11,44,10
PO018176NUP001,4,1.352934284754934,0.0795843696914667,2.1535472648363888e-05,0.004058908277569523,-0.003731798808977853,0.0023341061539300656,0.002679270587825717,PO018176NUP001,-6.293360843382493,0.1710867289549131,negative,11,44,11
PO018043NUP001,4,1.3170494689388594,0.07747349817287408,2.0938228830778804e-05,0.003946342469773914,-0.003936331970760898,0.00173520267122052,0.00264185722745564,PO018043NUP001,-6.3416977594382775,0.1227498128991282,negative,11,44,12
