name,dataset_id,start_year,end_year,sensor_ids,rows_downloaded,observed_date_min,observed_date_max,acquisition_utc,sha256,source
precip_2024_2025,pstb-pga6,2024,2025,2195;2368;8155;9863;12724;17437;17572,734116,2024-01-01T00:00:00,2025-12-31T23:50:00,2026-08-31T15:45:19.888366+00:00,215fba049aaf7c0504c5c2dc76f85cd964acc2b903093066f2cfa93943aeaf76,Regione Lombardia / ARPA Lombardia Open Data Socrata SODA2
temp_2024_2025,w9wd-u6jh,2024,2025,2187;6698;8157;8196;9868;12716;17432;17573,838565,2024-01-01T00:00:00,2025-12-31T23:50:00,2026-08-31T15:45:53.593863+00:00,8bd5b0650d354ab4cabcb1b40e996062de7a459f0cfd7f6e6ab56ff1936d64d6,Regione Lombardia / ARPA Lombardia Open Data Socrata SODA2
