scope,year,n,mean,sd,variance,min,p05,p25,median,p75,p95,max,iqr
overall,,48,2.8912057932946783e-19,0.010624870766403716,0.00011288787880278028,-0.02987658587233394,-0.0166724964919048,-0.003780276746644064,0.001509406285140067,0.003201297651002473,0.007144126030575484,0.047510726230306055,0.006981574397646536
year,2022.0,12,5.2186264568968945e-17,0.009555099340014812,9.129992339755149e-05,-0.029740804342209232,-0.013835638474069135,0.0013586458114342344,0.0023623970768172423,0.0034638625196084087,0.0057855192089761795,0.0062486564333569805,0.0021052167081741743
year,2023.0,12,7.19910242530375e-17,0.009585702149779432,9.188568570428603e-05,-0.02987658587233394,-0.013299182233582393,0.0014820311762469294,0.0021479727357070558,0.0029314327938067776,0.00586009086603744,0.006756731821203547,0.0014494016175598482
year,2024.0,12,-1.9660199394403813e-16,0.01645786573814553,0.00027086134465482444,-0.01747079906777327,-0.01621632359140853,-0.006504845093856036,-0.0030933380818303907,0.0008661697372902219,0.02542382440553744,0.047510726230306055,0.007371014831146258
year,2025.0,12,7.336434700485246e-17,0.0053190379547723154,2.829216476430846e-05,-0.006794549983259805,-0.005816098950087872,-0.003928365912422247,-0.0006028451282232346,0.0024890325335019245,0.00800927744335608,0.012106663984237705,0.006417398445924171
