sample,model,n_rows,n_wells,beta_per_1_ff10,beta_per_0_01_ff10_m,cv3j_se,cv3j_ci_low,cv3j_ci_high,wcr31_webb_p,ff10_partial_residual_sd,loo_beta_min,loo_beta_max,loo_sign_change_across_omissions,loo_max_abs_beta_change,loo_most_influential_station,reporting_role
primary,base_identity,48,12,-6.464447572337406,-0.064644475723374,30.611594077332484,-73.8401118632953,60.911216718620494,0.819081908190819,0.0106248707664037,-8.63450386466245,26.435574593303,True,32.90002216564041,PO018047NR0001,identity reproduction of frozen primary
primary,W1_precip,48,12,-4.983354263528126,-0.0498335426352812,25.93687042512526,-62.07002116844854,52.103312641392286,0.7566756675667566,0.0104996636629335,-6.875548077781076,22.899131272967928,True,27.882485536496056,PO018047NR0001,prespecified robustness only
primary,W2_temp,48,12,-5.199696875376295,-0.0519969687537629,30.275600389908917,-71.83584404643044,61.43645029567785,0.8453845384538454,0.0104791417175144,-7.406341855037654,27.350538321833103,True,32.5502351972094,PO018047NR0001,prespecified robustness only
primary,W3_precip_temp,48,12,-4.1016903733773145,-0.0410169037337731,26.41912094899379,-62.24978352477878,54.04640277802415,0.7827782778277828,0.010394348566521,-5.90902920007566,24.32143088306996,True,28.423121256447278,PO018047NR0001,prespecified robustness only
secondary18,base,62,18,-1.5419783595957297,-0.0154197835959572,11.353760262576678,-25.49631862856488,22.412361909373423,0.8433843384338434,0.0114517009452208,-6.020831604249187,9.009861634435318,True,10.551839994031049,PO018047NR0001,prespecified robustness only
secondary18,W1_precip,62,18,-1.261770587207228,-0.0126177058720722,11.136650796729596,-24.75804992303713,22.23450874862268,0.8612861286128612,0.0113650465396008,-5.565521502501655,9.080749059466632,True,10.34251964667386,PO018047NR0001,prespecified robustness only
secondary18,W2_temp,62,18,-0.1179595092983722,-0.0011795950929837,12.21296878435506,-25.88507130212269,25.649152283525943,0.9846984698469848,0.0110722688474873,-4.673297221751425,11.347185866866935,True,11.465145376165308,PO018047NR0001,prespecified robustness only
secondary18,W3_precip_temp,62,18,0.0925592644045387,0.0009255926440453,12.078176948731931,-25.39016661385736,25.575285142666434,0.987998799879988,0.0110122181239171,-4.417780208162325,11.383270020500882,True,11.290710756096344,PO018047NR0001,prespecified robustness only
diagnostic14,base,54,14,-1.4296796368291096,-0.014296796368291,11.728644562076822,-26.76787573153264,23.908516457874416,0.8501850185018501,0.01215147384988,-6.306426412431046,9.532411292204175,True,10.962090929033288,PO018047NR0001,diagnostic population only
