source_file,composite_start_doy,rows,unique_rice_cells,valid_reflectance_rows,valid_doy_rows,ndvi_nonmissing,ndfi_nonmissing,pixel_doy_min,pixel_doy_max
MOD09A1.A2019065.h18v04.061.2020289143120.hdf,65,17324,4331,17324,17324,17324,17324,67,72
MOD09A1.A2019073.h18v04.061.2020290202105.hdf,73,17324,4331,17324,17324,17324,17324,73,80
MOD09A1.A2019081.h18v04.061.2020291062700.hdf,81,17324,4331,17324,17324,17324,17324,81,88
MOD09A1.A2019089.h18v04.061.2020291201040.hdf,89,17324,4331,17324,17324,17324,17324,89,96
MOD09A1.A2019097.h18v04.061.2020292093149.hdf,97,17324,4331,17324,17324,17324,17324,98,103
MOD09A1.A2019105.h18v04.061.2020292170137.hdf,105,17324,4331,17324,17324,17324,17324,105,112
MOD09A1.A2019113.h18v04.061.2020293051547.hdf,113,17324,4331,17323,17324,17324,17323,116,120
MOD09A1.A2019121.h18v04.061.2020293193553.hdf,121,17324,4331,17324,17324,17324,17324,121,127
MOD09A1.A2019129.h18v04.061.2020294033402.hdf,129,17324,4331,17322,17324,17324,17322,129,136
MOD09A1.A2019137.h18v04.061.2020294185338.hdf,137,17324,4331,17324,17324,17324,17324,141,144
MOD09A1.A2019145.h18v04.061.2020297221147.hdf,145,17324,4331,17324,17324,17324,17324,145,152
MOD09A1.A2019153.h18v04.061.2020298074029.hdf,153,17324,4331,17324,17324,17324,17324,153,159
MOD09A1.A2019161.h18v04.061.2020298152413.hdf,161,17324,4331,17324,17324,17324,17324,163,168
MOD09A1.A2019169.h18v04.061.2020298235818.hdf,169,17324,4331,17324,17324,17324,17324,169,176
MOD09A1.A2019177.h18v04.061.2020302072141.hdf,177,17324,4331,17324,17324,17324,17324,177,183
