sequence,evidence_block,period,epistemic_status,design,beta_per_1_ff10,se_primary,ci95_low,ci95_high,p_primary,primary_inference,N,wells,years,direction,publication_role
1,Historical publication reanalysis,2008-2021,historically informed frozen reanalysis; not untouched confirmation,historical publication groundwater model,7.74292928447325,3.0184014508774752,1.5868589387862109,13.89899963016029,0.0153705145639078,additive_station_spatial_20km,194,32,14,positive,historical evidence
2,Genuine held-out confirmation,2022-2023,genuine held-out test under frozen bridge/sample/model protocol,13-well first difference; HC3,-4.303743831038646,44.72838738406051,-103.9648015481566,95.3573138860793,0.92524722528034,HC3,13,13,2,negative,held-out non-corroboration
3,Prespecified subsequent extension,2022-2025,prespecified subsequent extension conditional on prior knowledge,12 balanced wells; well FE + year FE + antecedent groundwater,-6.464447572337406,30.611594077332484,-73.8401118632953,60.911216718620494,0.819081908190819,CV3J CI; WCR31-Webb p,48,12,4,negative,post-2021 primary extension
