source_file,composite_start_doy,rows,unique_rice_cells,valid_reflectance_rows,valid_doy_rows,ndvi_nonmissing,ndfi_nonmissing,pixel_doy_min,pixel_doy_max
MOD09A1.A2011065.h18v04.061.2021184030744.hdf,65,17324,4331,17324,17324,17324,17324,65,70
MOD09A1.A2011073.h18v04.061.2021185023223.hdf,73,17324,4331,17324,17324,17324,17324,77,80
MOD09A1.A2011081.h18v04.061.2021185150113.hdf,81,17324,4331,17324,17324,17324,17324,81,88
MOD09A1.A2011089.h18v04.061.2021187165252.hdf,89,17324,4331,17324,17324,17324,17324,90,96
MOD09A1.A2011097.h18v04.061.2021188074122.hdf,97,17324,4331,17324,17324,17324,17324,97,104
MOD09A1.A2011105.h18v04.061.2021188162541.hdf,105,17324,4331,17324,17324,17324,17324,106,111
MOD09A1.A2011113.h18v04.061.2021189043520.hdf,113,17324,4331,17324,17324,17324,17324,113,120
MOD09A1.A2011121.h18v04.061.2021189144132.hdf,121,17324,4331,17324,17324,17324,17324,121,128
MOD09A1.A2011129.h18v04.061.2021189210320.hdf,129,17324,4331,17324,17324,17324,17324,129,136
MOD09A1.A2011137.h18v04.061.2021190082116.hdf,137,17324,4331,17324,17324,17324,17324,137,143
MOD09A1.A2011145.h18v04.061.2021190154101.hdf,145,17324,4331,17324,17324,17324,17324,145,150
MOD09A1.A2011153.h18v04.061.2021191202314.hdf,153,17324,4331,17324,17324,17324,17324,153,160
MOD09A1.A2011161.h18v04.061.2021192033331.hdf,161,17324,4331,17324,17324,17324,17324,161,168
MOD09A1.A2011169.h18v04.061.2021192124000.hdf,169,17324,4331,17324,17324,17324,17324,169,176
MOD09A1.A2011177.h18v04.061.2021192225802.hdf,177,17324,4331,17324,17324,17324,17324,177,184
