year,ff_mean,ff_sd,ff_min,ff_max,n_cells,ff_mean_anomaly
2022,0.03332743719557389,0.03385568500038884,0.003909330444223214,0.6325732668088141,4331,-0.06993778019386114
2023,0.06267841146410305,0.06895761798489157,0.00593123601167126,0.7592386878116153,4331,-0.04058680592533198
2024,0.20884250969107915,0.16252307242513747,0.013222508033779138,0.9823992928693116,4331,0.10557729230164412
2025,0.10821251120698404,0.11567233906138887,0.009184797074987877,0.9406276830710785,4331,0.004947293817549006
