source_file,composite_start_doy,rows,unique_rice_cells,valid_reflectance_rows,valid_doy_rows,ndvi_nonmissing,ndfi_nonmissing,pixel_doy_min,pixel_doy_max
MOD09A1.A2024065.h18v04.061.2024074034901.hdf,65,17324,4331,17324,17324,17324,17324,66,72
MOD09A1.A2024073.h18v04.061.2024085211745.hdf,73,17324,4331,17324,17324,17324,17324,73,80
MOD09A1.A2024081.h18v04.061.2024094201756.hdf,81,17324,4331,17324,17324,17324,17324,81,85
MOD09A1.A2024089.h18v04.061.2024099144328.hdf,89,17324,4331,17324,17324,17324,17324,92,95
MOD09A1.A2024097.h18v04.061.2024106141649.hdf,97,17324,4331,17324,17324,17324,17324,97,104
MOD09A1.A2024105.h18v04.061.2024115214032.hdf,105,17324,4331,17324,17324,17324,17324,105,112
MOD09A1.A2024113.h18v04.061.2024122121252.hdf,113,17324,4331,17324,17324,17324,17324,114,120
MOD09A1.A2024121.h18v04.061.2024132011547.hdf,121,17324,4331,17324,17324,17324,17324,121,127
MOD09A1.A2024129.h18v04.061.2024154010913.hdf,129,17324,4331,17324,17324,17324,17324,129,135
MOD09A1.A2024137.h18v04.061.2024148191642.hdf,137,17324,4331,17324,17324,17324,17324,138,143
MOD09A1.A2024145.h18v04.061.2024157203043.hdf,145,17324,4331,17324,17324,17324,17324,145,150
MOD09A1.A2024153.h18v04.061.2024162210740.hdf,153,17324,4331,17324,17324,17324,17324,153,158
MOD09A1.A2024161.h18v04.061.2024175161634.hdf,161,17324,4331,17324,17324,17324,17324,162,168
MOD09A1.A2024169.h18v04.061.2024181133519.hdf,169,17324,4331,17324,17324,17324,17324,169,174
MOD09A1.A2024177.h18v04.061.2024186041538.hdf,177,17324,4331,17324,17324,17324,17324,177,184
