source_file,composite_start_doy,rows,unique_rice_cells,valid_reflectance_rows,valid_doy_rows,ndvi_nonmissing,ndfi_nonmissing,pixel_doy_min,pixel_doy_max
MOD09A1.A2012065.h18v04.061.2021205115055.hdf,65,17324,4331,17324,17324,17324,17324,67,71
MOD09A1.A2012073.h18v04.061.2021205153403.hdf,73,17324,4331,17324,17324,17324,17324,73,80
MOD09A1.A2012081.h18v04.061.2021206111140.hdf,81,17324,4331,17324,17324,17324,17324,82,88
MOD09A1.A2012089.h18v04.061.2021206195004.hdf,89,17324,4331,17324,17324,17324,17324,89,91
MOD09A1.A2012097.h18v04.061.2021207091146.hdf,97,17324,4331,17324,17324,17324,17324,97,103
MOD09A1.A2012105.h18v04.061.2021207143027.hdf,105,17324,4331,17324,17324,17324,17324,108,112
MOD09A1.A2012113.h18v04.061.2021207205228.hdf,113,17324,4331,17324,17324,17324,17324,113,119
MOD09A1.A2012121.h18v04.061.2021208095956.hdf,121,17324,4331,17324,17324,17324,17324,123,128
MOD09A1.A2012129.h18v04.061.2021208184643.hdf,129,17324,4331,17324,17324,17324,17324,129,136
MOD09A1.A2012137.h18v04.061.2021209083824.hdf,137,17324,4331,17324,17324,17324,17324,137,144
MOD09A1.A2012145.h18v04.061.2021209193918.hdf,145,17324,4331,17324,17324,17324,17324,145,151
MOD09A1.A2012153.h18v04.061.2021210035943.hdf,153,17324,4331,17324,17324,17324,17324,154,160
MOD09A1.A2012161.h18v04.061.2021210153715.hdf,161,17324,4331,17324,17324,17324,17324,162,168
MOD09A1.A2012169.h18v04.061.2021210205601.hdf,169,17324,4331,17324,17324,17324,17324,169,176
MOD09A1.A2012177.h18v04.061.2021211083717.hdf,177,17324,4331,17324,17324,17324,17324,177,183
