source_file,composite_start_doy,rows,unique_rice_cells,valid_reflectance_rows,valid_doy_rows,ndvi_nonmissing,ndfi_nonmissing,pixel_doy_min,pixel_doy_max
MOD09A1.A2014065.h18v04.061.2021250213826.hdf,65,17324,4331,17324,17324,17324,17324,65,71
MOD09A1.A2014073.h18v04.061.2021251161705.hdf,73,17324,4331,17324,17324,17324,17324,73,80
MOD09A1.A2014081.h18v04.061.2021252173309.hdf,81,17324,4331,17324,17324,17324,17324,82,88
MOD09A1.A2014089.h18v04.061.2021253001024.hdf,89,17324,4331,17324,17324,17324,17324,89,96
MOD09A1.A2014097.h18v04.061.2021253084302.hdf,97,17324,4331,17324,17324,17324,17324,97,104
MOD09A1.A2014105.h18v04.061.2021253151826.hdf,105,17324,4331,17324,17324,17324,17324,105,112
MOD09A1.A2014113.h18v04.061.2021253234909.hdf,113,17324,4331,17324,17324,17324,17324,113,119
MOD09A1.A2014121.h18v04.061.2021254183519.hdf,121,17324,4331,17324,17324,17324,17324,121,128
MOD09A1.A2014129.h18v04.061.2021255000957.hdf,129,17324,4331,17324,17324,17324,17324,130,135
MOD09A1.A2014137.h18v04.061.2021255104646.hdf,137,17324,4331,17324,17324,17324,17324,137,144
MOD09A1.A2014145.h18v04.061.2021255191423.hdf,145,17324,4331,17324,17324,17324,17324,145,152
MOD09A1.A2014153.h18v04.061.2021256111304.hdf,153,17324,4331,17324,17324,17324,17324,153,160
MOD09A1.A2014161.h18v04.061.2021256181649.hdf,161,17324,4331,17324,17324,17324,17324,161,167
MOD09A1.A2014169.h18v04.061.2021257092600.hdf,169,17324,4331,17324,17324,17324,17324,169,176
MOD09A1.A2014177.h18v04.061.2021257190709.hdf,177,17324,4331,17324,17324,17324,17324,178,184
