target_month,beta,p,ci_lo,ci_hi,N,wells
6,-0.19483556098468371,0.9211337876690262,-4.051895231756359,3.662224109786991,166,31
7,-1.7055813167211284,0.6601631804795131,-9.308424357015785,5.8972617235735285,173,31
8,6.440268535972983,0.026743407265693728,0.7421596492900466,12.13837742265592,191,32
