station,year,commune,pre,aprmay,jja,m5,m6,m7,m8,ff_2,ffw_2,ffb_2,n_2,nbal_2,ff_5,ffw_5,ffb_5,n_5,nbal_5,ff_10,ffw_10,ffb_10,n_10,nbal_10
PO018043NUP001,2018,CERANOVA,2.3,2.16,2.0,,2.02,2.0,1.98,0.008683846778391551,0.013025770167587325,0.017367693556783102,4,2,0.018729577769815764,0.02227178420561056,0.016070049613093343,31,15,0.01286233259917456,0.015581558426760126,0.015086642125955896,172,82
PO018043NUP001,2019,CERANOVA,2.3,2.4,2.06,,2.42,2.05,2.06,2.2641700019853e-05,3.135004618133492e-05,6.7925100059559e-05,6,2,0.01098114600177511,0.013491796794102886,0.016029595720659342,37,15,0.011747261134538238,0.015593147924137022,0.01771958081948603,202,82
PO018043NUP001,2020,CERANOVA,,,2.05,,2.2,,1.9,0.002692408061453274,0.0028566677609215612,0.003045166842639445,7,2,0.0009155465979536215,0.0013941620518428787,0.0020795406597769934,61,15,0.0013785393244944754,0.0017291367031536699,0.002416465504826577,270,82
PO018043NUP001,2021,CERANOVA,2.2,2.245,2.245,2.25,2.25,2.24,,7.375481425586973e-05,0.0001622605913629134,0.0004056514784072835,11,2,0.0019333362495476604,0.0021253474278790296,0.0023988297912809564,62,15,0.0015647806702205045,0.0018115558122666164,0.0013690348778772306,266,82
PO0181150U0006,2008,PINAROLO PO,,,,,,,,,,,0,0,,,,0,0,0.08352681331336494,0.06808629344132809,,5,0
PO0181150U0006,2009,PINAROLO PO,5.79,,5.95,,,5.86,6.04,,,,0,0,,,,0,0,0.04699521553924389,0.042644869755296105,,7,0
PO0181150U0006,2010,PINAROLO PO,,,,,,,,,,,0,0,,,,0,0,0.040973351874317096,0.0481046423848186,,13,0
PO0181150U0006,2011,PINAROLO PO,3.4,3.505,4.54,3.88,4.54,,,,,,0,0,0.0,0.0,,1,0,0.02914033921271632,0.027921531144811808,,18,0
PO0181150U0006,2012,PINAROLO PO,,4.5,5.7,5.3,5.45,5.7,6.05,,,,0,0,,,,0,0,0.027125759116218742,0.03228838295382005,,12,0
PO0181150U0006,2013,PINAROLO PO,5.4,2.95,3.45,2.9,3.45,7.58,3.38,,,,0,0,,,,0,0,0.04077825191162639,0.04208740584352718,,11,0
PO0181150U0006,2014,PINAROLO PO,3.5,2.75,4.53,2.9,6.3,4.28,4.53,,,,0,0,0.0671844721771777,0.0671844721771777,,1,0,0.06387433246515387,0.0780530595220626,,16,0
PO0181150U0006,2015,PINAROLO PO,3.2,3.92,5.11,4.2,4.67,5.11,5.4,,,,0,0,,,,0,0,0.03837677733972672,0.04024090879829604,,17,0
PO0181150U0006,2016,PINAROLO PO,5.77,5.53,6.0,5.62,5.74,6.0,6.18,,,,0,0,0.00202258094213903,0.00202258094213903,,1,0,0.03999717443423602,0.04692626935429873,,17,0
PO0181150U0006,2017,PINAROLO PO,6.44,6.46,6.76,6.46,6.62,6.76,6.87,,,,0,0,,,,0,0,0.063545241767504,0.09199045438600588,,17,0
PO0181150U0006,2018,PINAROLO PO,7.05,6.779999999999999,6.95,6.71,6.8,6.95,7.02,,,,0,0,0.0102970944717526,0.0102970944717526,,1,0,0.02124768786826262,0.018916725400177872,,17,0
PO0181150U0006,2019,PINAROLO PO,6.96,,7.17,,6.91,7.17,7.27,,,,0,0,,,,0,0,0.029578981676604554,0.04401955647000032,,12,0
PO0181150U0006,2020,PINAROLO PO,5.42,,5.98,,5.8,5.98,6.16,,,,0,0,0.00178268516901881,0.00178268516901881,,1,0,0.01682560312522887,0.015459308699380779,,20,0
PO0181150U0006,2021,PINAROLO PO,4.87,,5.94,,5.53,5.94,6.15,,,,0,0,0.0,0.0,,1,0,0.009422171373400044,0.013684789111910312,,22,0
PO0181140U0002,2008,PIEVE PORTO MORONE,4.31,4.529999999999999,4.05,4.56,4.5,4.05,3.77,0.004823124036192891,0.007982284244563839,,6,0,0.03347043628822403,0.04293520185727452,0.05653969625860489,28,9,0.04821295800377104,0.06968995801806306,0.0774131962379518,48,10
PO0181140U0002,2009,PIEVE PORTO MORONE,2.85,2.75,3.1,2.66,2.16,3.1,3.22,0.0035217865409901015,0.003841605764107717,,11,0,0.010675142006869935,0.014811076309838843,0.027614078418938107,37,9,0.014454046390088649,0.01838863010784485,0.03381085883515578,70,10
PO0181140U0002,2010,PIEVE PORTO MORONE,3.22,3.3499999999999996,3.35,3.3,3.48,2.4,3.35,0.0006259003857849163,0.0011127117969509622,,8,0,0.008025059198553213,0.010060271650274318,0.01809704914404494,32,9,0.018794869989991043,0.02195800085087663,0.034767339063109845,66,10
PO0181140U0002,2011,PIEVE PORTO MORONE,2.675,3.175,3.35,3.3,3.4,3.35,3.2,0.0002440370718073661,0.0003221289347857232,,11,0,0.0030998308069515425,0.0037479141707333265,0.004777267446439106,36,9,0.013687140379647371,0.014456226503646256,0.013864281657624817,81,10
PO0181140U0002,2012,PIEVE PORTO MORONE,4.05,4.32,4.4,4.34,4.4,4.4,4.15,0.0016153852037354634,0.002584090110893292,,9,0,0.0038038340457740784,0.002624545028661415,0.0016683285353118903,34,9,0.014549213833022878,0.01137408696626413,0.0015856852479434265,66,10
PO0181140U0002,2013,PIEVE PORTO MORONE,3.8,3.275,2.96,3.25,2.8,3.15,2.96,0.004848677991604847,0.00466636423317885,,3,0,0.024549509658425537,0.02752569985414783,0.026000315891751256,28,9,0.043280518346888376,0.04698947918790669,0.03330743755136306,59,10
PO0181140U0002,2014,PIEVE PORTO MORONE,2.1,2.59,3.2,,3.26,3.14,3.2,0.00919206352167142,0.012101698074151169,,8,0,0.013173996476763462,0.01541081351485575,0.01185277845641529,36,9,0.020812680221943086,0.02068894578224771,0.011401854669675231,80,10
PO0181140U0002,2015,PIEVE PORTO MORONE,2.55,2.91,3.325,3.02,3.25,3.4,,0.0007511775987222788,0.0013728287462568415,,10,0,0.0026365832414012415,0.0025828257134622545,0.0006187051534652711,40,9,0.013418860390426264,0.012053146643383014,0.000556834638118744,68,10
PO0181140U0002,2016,PIEVE PORTO MORONE,4.05,4.06,,4.06,,,,0.0008888641896191983,0.0008204900211869523,,6,0,0.0021467530710688517,0.0019250945237019104,0.002604731158525856,33,9,0.00498177091769107,0.0060911311979750795,0.002731076510002216,68,10
PO0181140U0002,2017,PIEVE PORTO MORONE,4.54,4.365,4.2,4.48,4.1,4.2,4.35,0.0021095088316576065,0.0028329199319705356,,9,0,0.002476812185629986,0.003465345178784384,0.003284464374667515,42,9,0.004715736227444716,0.007053908563998086,0.0034042959411938974,72,10
PO0181140U0002,2018,PIEVE PORTO MORONE,4.4,4.1850000000000005,4.0,4.17,4.15,3.95,4.0,0.0,0.0,,9,0,0.0015810171329398083,0.002548054574678343,0.0030398416332900564,34,9,0.006865213629479212,0.008316994004417213,0.002735857469961051,50,10
PO0181140U0002,2019,PIEVE PORTO MORONE,3.8,4.08,,4.08,,,,0.0043406402731003945,0.004930059225039768,,5,0,0.006007628099579396,0.007945329944402233,0.005114444978944783,29,9,0.018963447177732302,0.019772961654898998,0.006081406709175405,47,10
PO0181140U0002,2020,PIEVE PORTO MORONE,,,3.7649999999999997,,,3.9,3.63,0.0,0.0,,8,0,1.2401428759359267e-06,1.8831799227175185e-06,0.0,41,9,0.0003147209371093397,0.0003128162923380898,1.8433976219967e-05,77,10
PO0181140U0002,2021,PIEVE PORTO MORONE,3.2,3.745,3.9,3.72,3.8,3.9,3.9,2.603014258460867e-06,4.016079141625338e-06,,9,0,0.0003222869520444268,0.00038247414241307753,0.0007008126326750415,40,9,0.0011341860257182562,0.0015821607186133665,0.0006668271273762611,81,10
PO0181220U0001,2008,RIVANAZZANO TERME,,,,,,,,,,,0,0,,,,0,0,,,,0,0
PO0181220U0001,2009,RIVANAZZANO TERME,,,,,,,,,,,0,0,,,,0,0,,,,0,0
PO0181220U0001,2010,RIVANAZZANO TERME,,,,,,,,,,,0,0,,,,0,0,,,,0,0
PO0181220U0001,2011,RIVANAZZANO TERME,,,,,,,,,,,0,0,,,,0,0,,,,0,0
PO0181220U0001,2012,RIVANAZZANO TERME,,,,,,,,,,,0,0,,,,0,0,,,,0,0
PO0181220U0001,2013,RIVANAZZANO TERME,,,,,,,,,,,0,0,,,,0,0,,,,0,0
PO0181220U0001,2014,RIVANAZZANO TERME,,5.79,,5.79,,,,,,,0,0,,,,0,0,,,,0,0
PO0181220U0001,2015,RIVANAZZANO TERME,,5.82,5.93,5.82,,5.93,,,,,0,0,,,,0,0,,,,0,0
PO0181220U0001,2016,RIVANAZZANO TERME,6.1,6.05,6.1,6.05,,,6.1,,,,0,0,,,,0,0,,,,0,0
PO0181220U0001,2017,RIVANAZZANO TERME,6.12,6.09,6.19,6.09,,,6.19,,,,0,0,,,,0,0,,,,0,0
PO0181220U0001,2018,RIVANAZZANO TERME,6.22,5.92,7.0,5.92,,7.0,,,,,0,0,,,,0,0,,,,0,0
PO0181220U0001,2019,RIVANAZZANO TERME,7.22,,7.015000000000001,,7.09,,6.94,,,,0,0,,,,0,0,,,,0,0
PO0181220U0001,2020,RIVANAZZANO TERME,,,6.725,,6.4,,7.05,,,,0,0,,,,0,0,,,,0,0
PO0181220U0001,2021,RIVANAZZANO TERME,,,6.89,,6.93,,6.85,,,,0,0,,,,0,0,,,,0,0
PO0180470U0001,2008,CERVESINA,9.25,9.15,9.52,9.15,,,9.52,,,,0,0,0.14003515685229406,0.13616344407533434,0.13348717161764698,8,5,0.09259835797434095,0.10071743114307163,0.11484240291185918,70,34
PO0180470U0001,2009,CERVESINA,8.18,7.68,8.33,7.68,,,8.33,0.325973302125931,0.325973302125931,,1,0,0.18089390493653434,0.17326204660229186,0.1783628256867328,9,5,0.08443507982629363,0.08972275230181559,0.0966587242838132,87,34
PO0180470U0001,2010,CERVESINA,7.85,7.3,7.9,7.3,,,7.9,,,,0,0,0.13238611381880383,0.12691212553530928,0.21169933490455137,9,5,0.0591266748400306,0.06449982173378682,0.08633398041060632,91,34
PO0180470U0001,2011,CERVESINA,7.2,7.3,7.8,7.3,,,7.8,0.0881260111927986,0.0881260111927986,,1,0,0.16142773591137188,0.1727650997504085,0.22606071226609262,10,5,0.04406638558747173,0.049538631468486485,0.0679766750765517,97,34
PO0180470U0001,2012,CERVESINA,7.9,7.8,8.25,7.8,,,8.25,,,,0,0,0.17078307345509539,0.17334800289991584,0.2053797863423826,10,5,0.06258353055186613,0.06601717401185023,0.08769607092858055,87,34
PO0180470U0001,2013,CERVESINA,8.0,6.95,8.92,6.95,,,8.92,0.257444982727369,0.257444982727369,,1,0,0.11404688002085706,0.11492344657108337,0.12297657722607261,10,5,0.08058421565954127,0.08681808613148771,0.08755609771013083,86,34
PO0180470U0001,2014,CERVESINA,6.59,6.9,7.53,,,,7.53,0.0908451713621616,0.0908451713621616,,1,0,0.16027218298986542,0.17473384081993407,0.16899504161129383,10,5,0.08113764941885258,0.09748846586473599,0.11757420985610653,91,34
PO0180470U0001,2015,CERVESINA,6.82,7.33,7.74,7.33,,7.74,,,,,0,0,0.0987103634125864,0.10093414962686831,0.1524812880655131,11,5,0.04734149544510665,0.0525387627227853,0.06469268024329546,93,34
PO0180470U0001,2016,CERVESINA,7.75,7.82,8.1,7.87,7.91,8.1,8.2,0.0398115727584809,0.0398115727584809,,1,0,0.10414487142503881,0.11157818217403613,0.1754591710617145,12,5,0.04429961148358747,0.049589756722962196,0.0712222562801389,88,34
