station,year,commune,pre,aprmay,jja,m5,m6,m7,m8,ff_2,ffw_2,ffb_2,n_2,nbal_2,ff_5,ffw_5,ffb_5,n_5,nbal_5,ff_10,ffw_10,ffb_10,n_10,nbal_10,CODICE,gw_x,gw_y,gwb,commune2,d_may_aug,regime,P_mayaug,P_mayaug_n,P_mayaug_dmax,P_apraug,P_apraug_n,P_apraug_dmax,P_jja,P_jja_n,P_jja_dmax,T_mayaug,T_mayaug_n,T_mayaug_dmax,T_apraug,T_apraug_n,T_apraug_dmax,T_jja,T_jja_n,T_jja_dmax,d_spring_summer,P_aprmay,T_aprmay,event_year,event_time
PO0180500U0002,2017,CILAVEGNA,4.0600000000000005,3.825,3.64,3.7,3.64,3.7,3.6,0.0,0.0,0.0,5,2,0.0420679935099453,0.0492325316927957,0.0554572984579818,75,54,0.1435929937483297,0.1584075280744423,0.1637781940665308,311,258,PO0180500U0002,480174.0,5017487.0,GWB ISS MPP,CILAVEGNA,-0.1,High,143.92238449954286,3,32.79534505078426,179.41260891820002,3,32.79534505078426,76.91306345798655,3,32.79534505078426,22.68314984461718,3,32.79534505078426,21.029762672485003,3,32.79534505078426,24.16958068235312,3,32.79534505078426,-0.18500000000000005,102.49954546021347,16.30356389603849,,
PO0180500U0002,2018,CILAVEGNA,3.85,4.47,4.01,5.01,3.96,4.25,4.01,0.0070512928068637,0.0070512928068637,0.0211538784205913,6,2,0.0818674814194026,0.1023392764493392,0.1058988812813581,75,54,0.2267168422133181,0.2625479351883169,0.2569294307175241,308,258,PO0180500U0002,480174.0,5017487.0,GWB ISS MPP,CILAVEGNA,-1.0,High,234.22565772061333,3,32.79534505078426,319.2037520308964,3,32.79534505078426,127.208288511009,3,32.79534505078426,22.639402464599232,3,32.79534505078426,21.160628151596303,3,32.79534505078426,24.01436830635319,3,32.79534505078426,-0.45999999999999996,191.9954635198874,16.844302710588078,,
PO0180500U0002,2019,CILAVEGNA,,3.65,,3.65,,,,0.0,0.0,0.0,6,2,0.0497731475532726,0.0561676547964365,0.0597889368576786,73,54,0.1166267120288638,0.126762973338398,0.1279167506602617,307,258,PO0180500U0002,480174.0,5017487.0,GWB ISS MPP,CILAVEGNA,,High,167.56673296697758,3,32.79534505078426,246.57203571667824,3,32.79534505078426,97.77048757808782,3,32.79534505078426,22.146307327331822,3,32.79534505078426,20.34203258994205,3,32.79534505078426,24.489091404147523,3,32.79534505078426,,148.8015481385904,14.099783107882194,,
PO0180500U0002,2020,CILAVEGNA,,,,,,,,0.0,0.0,0.0,7,2,0.0357271196955519,0.0498501539822841,0.0494853512664076,77,54,0.0946407435026191,0.11022761515775,0.107662588507169,318,258,PO0180500U0002,480174.0,5017487.0,GWB ISS MPP,CILAVEGNA,,High,303.1711934466911,3,32.79534505078426,353.5826412160794,3,32.79534505078426,188.318331945031,3,32.79534505078426,22.15776596070298,3,32.79534505078426,20.53953927758492,3,32.79534505078426,23.2913514233905,3,32.79534505078426,,165.26430927104843,16.40123199884997,,
PO0180500U0002,2021,CILAVEGNA,,,,,,,,0.0,0.0,0.0,7,2,0.0340956974569465,0.0379228884345461,0.0444439808627897,75,54,0.0819800841299831,0.0865957020471904,0.0921817338328849,314,258,PO0180500U0002,480174.0,5017487.0,GWB ISS MPP,CILAVEGNA,,High,115.68480530173464,3,22.197868388653895,164.9942277739937,3,22.197868388653895,67.51818690430122,3,22.197868388653895,21.76499563058958,3,22.197868388653895,19.82068351212,3,22.197868388653895,23.50436073248124,3,22.197868388653895,,97.47604086969247,14.264973606001409,,
PO018065NRG001,2008,FRASCAROLO,,,,,,,,0.3000419882126152,0.2892289916601251,0.3052464548964052,10,4,0.2455506398452647,0.2510750517691814,0.2661420157504228,43,16,0.1615709980338315,0.1715859581343518,0.1810992620380501,129,60,PO018065NRG001,476409.0,4987902.0,GWB ISS MPP,FRASCAROLO,,High,248.4620821036869,3,35.89656184093402,358.59930542624465,3,35.89656184093402,159.19893396723006,3,35.89656184093402,21.536573859091884,3,33.77407082363629,19.655306454011203,3,33.77407082363629,22.84357383194932,3,33.77407082363629,,184.673312114867,15.053661024576622,,
PO018065NRG001,2009,FRASCAROLO,,,,,,,,0.2713920394890011,0.2663195655571626,0.2876939221750945,10,4,0.2822789989770778,0.297603567087208,0.3137683185826365,48,16,0.1665497087303384,0.1715967930750739,0.1989390960816915,145,60,PO018065NRG001,476409.0,4987902.0,GWB ISS MPP,FRASCAROLO,,High,81.89408542395716,3,33.77407082363629,207.41039078814,3,33.77407082363629,75.91386907783068,3,33.77407082363629,22.30214472294733,3,33.77407082363629,20.598371567422085,3,33.77407082363629,23.13201262007117,3,33.77407082363629,,131.4965217103093,16.99158841920005,,
PO018065NRG001,2010,FRASCAROLO,,,,,,,,0.160114357953937,0.1764709405742905,0.1998176835477352,11,4,0.1886799408121887,0.2109503636571569,0.2587682078125606,48,16,0.1038666519462806,0.1124799362499386,0.1418346352175124,152,60,PO018065NRG001,476409.0,4987902.0,GWB ISS MPP,FRASCAROLO,,High,259.5791578755199,3,35.89656184093402,316.3089001891846,3,35.89656184093402,141.66187815907054,3,35.89656184093402,20.153425286927742,2,22.509192122330823,18.50209303796085,2,22.509192122330823,21.736365315783345,2,22.509192122330823,,174.64702203011407,14.113670461090807,,
PO018065NRG001,2011,FRASCAROLO,,,,,,,,0.1883704784636697,0.1910499333050744,0.2296462499381352,12,4,0.1317089914654319,0.1383462984074883,0.1683265819960069,52,16,0.0815388459202474,0.0833937751198729,0.1044834136202674,158,60,PO018065NRG001,476409.0,4987902.0,GWB ISS MPP,FRASCAROLO,,High,145.8428054888833,3,33.77407082363629,152.05390241750726,3,33.77407082363629,135.49715835261156,3,33.77407082363629,,1,16.836307700918276,,1,16.836307700918276,,1,38.23255644081363,,22.372949229282142,,,
PO018065NRG001,2012,FRASCAROLO,,,,,,,,0.2157892821525986,0.1982513309651336,0.220213978085667,11,4,0.2114754534890461,0.2037816014956361,0.2098242516609995,45,16,0.1026028741404275,0.0978908960244289,0.1007844701506474,151,60,PO018065NRG001,476409.0,4987902.0,GWB ISS MPP,FRASCAROLO,,High,135.91523175123928,3,22.509192122330823,233.99359467383368,3,22.509192122330823,71.54870024539636,3,22.509192122330823,22.59931182199488,3,33.77407082363629,20.6001110339973,3,33.77407082363629,24.115873931703213,3,33.77407082363629,,162.44489442843732,15.217451980272,,
PO018065NRG001,2013,FRASCAROLO,,,,,,,,0.2050636317322237,0.2276395519962534,0.2132412132651855,12,4,0.2225146956860507,0.2684100126533303,0.2936199051395912,51,16,0.160641712065137,0.175718136441126,0.1978789341401554,154,60,PO018065NRG001,476409.0,4987902.0,GWB ISS MPP,FRASCAROLO,,High,220.04385217526152,3,33.77407082363629,316.95724928941024,3,33.77407082363629,68.83137046077167,3,22.509192122330823,21.25725300160176,3,35.89656184093402,19.638573944690947,3,35.89656184093402,23.022993966230857,3,35.89656184093402,,237.17505213405775,14.633875950761844,,
PO018065NRG001,2014,FRASCAROLO,,2.17,,2.17,,,,0.1527012863111767,0.1827868375441302,0.1878038944754128,11,4,0.1659501757723433,0.1838305660726928,0.229177955950096,50,16,0.0897278574138613,0.100322571850964,0.1161257654759699,156,60,PO018065NRG001,476409.0,4987902.0,GWB ISS MPP,FRASCAROLO,,High,290.1735186797264,3,38.23255644081363,374.2615957353029,3,38.23255644081363,262.8558176222441,3,38.23255644081363,20.508203265236503,3,35.89656184093402,19.260820114991983,3,35.89656184093402,21.62789874204554,3,35.89656184093402,,101.05636573911056,15.690799890583328,,
PO018065NRG001,2015,FRASCAROLO,,2.05,2.01,2.05,,2.01,,0.1061561512432738,0.1028612820920534,0.1123918892427658,11,4,0.1023677907089377,0.1001089750944811,0.1155845924726843,51,16,0.0492586648405306,0.04765959461479,0.0556144687084533,152,60,PO018065NRG001,476409.0,4987902.0,GWB ISS MPP,FRASCAROLO,,High,146.58952433300055,3,22.509192122330823,176.21853902101856,3,22.509192122330823,116.43193778251612,3,22.509192122330823,22.836323264718903,3,35.89656184093402,21.099217728745916,3,35.89656184093402,24.18558603578336,3,35.89656184093402,-0.040000000000000036,59.786601238502406,16.311932458128993,,
PO018065NRG001,2016,FRASCAROLO,4.19,,1.98,,2.04,,1.92,0.0997793339846086,0.0981419079672867,0.1364149094442835,12,4,0.0696219232448283,0.0688013952978884,0.0904007205943343,51,16,0.0448190438971194,0.0446914492524002,0.0589605694993709,153,60,PO018065NRG001,476409.0,4987902.0,GWB ISS MPP,FRASCAROLO,,Mid,211.42729085318652,3,22.509192122330823,221.39551944053295,3,22.509192122330823,125.86947439883936,3,22.509192122330823,21.343625423471146,3,35.89656184093402,20.033635642985946,3,35.89656184093402,22.8730522756982,3,35.89656184093402,,95.52604504169365,15.702955937710483,,
PO018065NRG001,2017,FRASCAROLO,3.87,2.77,2.26,2.77,,,2.26,0.0420201140904316,0.0446783039533795,0.0434929835018313,9,4,0.071210466768207,0.0766548783655281,0.1293789854212567,48,16,0.0476424673982384,0.0497628923780649,0.0669707651945161,143,60,PO018065NRG001,476409.0,4987902.0,GWB ISS MPP,FRASCAROLO,-0.5100000000000002,Mid,181.20449933379373,3,22.509192122330823,221.2205062934749,3,22.509192122330823,105.62374710061194,3,22.509192122330823,22.47349831916548,3,35.89656184093402,20.81612019804765,3,35.89656184093402,23.93870617106064,3,35.89656184093402,-0.5100000000000002,115.59675919286295,16.141774738417173,,
PO018065NRG001,2018,FRASCAROLO,4.12,3.19,2.05,3.19,,2.05,,0.0233643637491493,0.0320671376727713,0.020880383933157,12,4,0.0472229897060109,0.0530904233012225,0.0752792405243932,43,16,0.025924646018964,0.0263830752429809,0.0358612913063835,144,60,PO018065NRG001,476409.0,4987902.0,GWB ISS MPP,FRASCAROLO,,Mid,253.9619898909276,3,22.509192122330823,327.46282857905794,3,22.509192122330823,165.38342618403246,3,22.509192122330823,22.464490830879004,3,35.89656184093402,21.021282136152134,3,35.89656184093402,23.78988107125155,3,35.89656184093402,-1.1400000000000001,162.0794023950255,16.798961189459785,,
