station,year,commune,pre,aprmay,jja,m5,m6,m7,m8,ff_2,ffw_2,ffb_2,n_2,nbal_2,ff_5,ffw_5,ffb_5,n_5,nbal_5,ff_10,ffw_10,ffb_10,n_10,nbal_10,CODICE,gw_x,gw_y,gwb,P4,P4_n,P4_dmax,P5,P5_n,P5_dmax,P6,P6_n,P6_dmax,P7,P7_n,P7_dmax,P8,P8_n,P8_dmax,T4,T4_n,T4_dmax,T5,T5_n,T5_dmax,T6,T6_n,T6_dmax,T7,T7_n,T7_dmax,T8,T8_n,T8_dmax,P_A6,T_A6,P_A7,T_A7,P_A8,T_A8,d_spr_6,d_spr_7,d_spr_8,ff10_mean,ff10_anom,ff_anom_lag,yr_lag,ff_anom_lead,yr_lead
PO018003NR0009,2008,ALBONESE,,,,,,,,0.0568316302606318,0.0616485738789598,0.0641810294903633,15,12,0.1829625749396328,0.2145547121323003,0.2080316540034901,63,54,0.2587886019272887,0.2864790631385784,0.2838692515449126,318,273,PO018003NR0009,477798.0,5014771.0,GWB ISS MPP,128.65984179289356,3,19.173817694971444,110.22756932472811,3,19.173817694971444,87.38601866362357,3,19.173817694971444,63.52888998229135,3,19.173817694971444,41.76755511016347,3,19.173817694971444,12.53975900037794,3,14.16311582950588,18.262201599849263,3,14.16311582950588,21.895737943677968,3,14.16311582950588,23.720217702516916,3,14.16311582950588,23.120679433267778,3,14.16311582950588,326.2734297812452,17.57355118590115,389.80231976353656,19.13540907127073,431.56987487370003,19.942882151152485,,,,0.15093532958202086,0.10785327234526784,,,0.12790838488092535,2009.0
PO018003NR0009,2009,ALBONESE,,,,,,,,0.07291525440601,0.0744153210969724,0.0852201771883604,15,12,0.1685886339273066,0.1941664723469387,0.2060667155451359,68,54,0.2788437144629462,0.304158960666758,0.3078709337983442,328,273,PO018003NR0009,477798.0,5014771.0,GWB ISS MPP,194.68888666687,3,19.173817694971444,19.581808554638442,3,19.173817694971444,18.685146458569843,3,19.173817694971444,40.93474470963317,3,19.173817694971444,19.305672050987397,3,19.173817694971444,14.140862220542864,3,14.16311582950588,20.781727521472874,3,14.16311582950588,22.881574237268765,3,14.16311582950588,24.672897900835217,3,19.173817694971444,23.348190383826978,3,14.16311582950588,232.9558416800783,19.284688427472613,273.8905863897115,20.653823621523767,293.1962584406989,21.199741070095005,,,,0.15093532958202086,0.12790838488092535,0.10785327234526784,2008.0,0.061269153106487756,2010.0
PO018003NR0009,2010,ALBONESE,,,,,,,,0.0285657462696286,0.0302944827147897,0.0351882618754946,15,12,0.112610134093605,0.1306198519108053,0.1419357506293849,72,54,0.2122044826885086,0.2430745225368476,0.2400966990965115,330,273,PO018003NR0009,477798.0,5014771.0,GWB ISS MPP,68.40814042237682,3,19.173817694971444,146.59471407894685,3,19.173817694971444,61.50300335263637,3,35.71163185854155,8.189511511901697,3,19.173817694971444,91.42814917107438,3,19.173817694971444,12.393915718852476,3,14.16311582950588,16.050847144575723,3,14.16311582950588,20.755539741690917,3,14.16311582950588,24.37112227827691,3,14.16311582950588,20.970733085183397,3,19.173817694971444,276.50585785396004,16.39626291536428,284.6953693658617,18.42266160594044,376.1235185369361,18.938937526571365,,,,0.15093532958202086,0.061269153106487756,0.12790838488092535,2009.0,-0.013930891043955562,2011.0
PO018003NR0009,2011,ALBONESE,,,,,,,,0.0110047209169715,0.0117907724110409,0.0135851368502092,15,12,0.078077308709104,0.0926038404432359,0.097661754797733,70,54,0.1370044385380653,0.1500341083801406,0.1575825327925395,331,273,PO018003NR0009,477798.0,5014771.0,GWB ISS MPP,16.860203669194604,3,19.173817694971444,12.698105562370419,3,19.173817694971444,139.53118989095847,3,19.173817694971444,29.023695737824834,3,19.173817694971444,5.331770450640505,3,19.173817694971444,16.046779387915713,2,36.579375568754585,19.650259801053952,2,36.579375568754585,21.501396557031477,2,36.579375568754585,23.247225150112538,3,36.579375568754585,25.150989307365503,3,35.71163185854155,169.0894991225235,19.07256408990207,198.11319486034833,20.133338621594895,203.44496531098883,21.149986799757563,,,,0.15093532958202086,-0.013930891043955562,0.061269153106487756,2010.0,0.06389940488054324,2012.0
PO018003NR0009,2012,ALBONESE,,,,,,,,0.013926151389864,0.017143034984474,0.0170102012022753,15,12,0.1217264720928404,0.1396374639564628,0.149031271798774,67,54,0.2148347344625641,0.2360309499651511,0.2413548399009382,327,273,PO018003NR0009,477798.0,5014771.0,GWB ISS MPP,104.69803328579762,3,19.173817694971444,75.67369487806234,3,19.173817694971444,52.882855495306465,3,19.173817694971444,13.748418407288638,3,19.173817694971444,11.043750027528601,3,19.173817694971444,12.764434586546042,3,19.173817694971444,18.238434884752685,3,19.173817694971444,23.549836650203666,3,19.173817694971444,24.870128076569483,3,19.173817694971444,25.314235597408057,3,19.173817694971444,233.25458365916643,18.184830972855213,247.00300206645505,19.88355400740556,258.0467520939836,20.98388818577208,,,,0.15093532958202086,0.06389940488054324,-0.013930891043955562,2011.0,0.08623032792290544,2013.0
PO018003NR0009,2013,ALBONESE,,,,,,,,0.0666645722336963,0.0734207862595212,0.0786723905698938,15,12,0.1616588875599804,0.1918837021092056,0.2065547270916638,70,54,0.2371656575049263,0.2685447918369183,0.2703184161039616,330,273,PO018003NR0009,477798.0,5014771.0,GWB ISS MPP,77.67054433068355,3,19.173817694971444,145.83653320745765,3,19.173817694971444,16.533974112074183,3,19.173817694971444,10.002553184633944,3,19.173817694971444,20.73609722712687,3,19.173817694971444,13.382637282339704,3,19.173817694971444,16.368850213848457,3,19.173817694971444,21.927942804673787,3,19.173817694971444,25.27760500837258,3,19.173817694971444,23.458311324782635,3,19.173817694971444,240.0410516502154,17.21705229933744,250.04360483484933,19.265225528682432,270.7797020619762,20.11480500370927,,,,0.15093532958202086,0.08623032792290544,0.06389940488054324,2012.0,0.016417066997503837,2014.0
PO018003NR0009,2014,ALBONESE,,,,,,,,0.0267394612523882,0.0286494227704159,0.0308591815385928,15,12,0.1255575769188631,0.1512684947433178,0.1582306531580224,69,54,0.1673523965795247,0.1936954259065871,0.1883509142020355,324,273,PO018003NR0009,477798.0,5014771.0,GWB ISS MPP,84.48619901507382,3,31.420325030145694,16.83301328780269,3,31.420325030145694,65.37431446500291,3,35.71163185854155,191.50510192969926,3,35.71163185854155,46.0780589627046,3,31.420325030145694,14.20549364558571,3,31.420325030145694,17.274610620918256,3,31.420325030145694,21.960462435373685,3,31.420325030145694,21.837365042191745,3,31.420325030145694,21.53216720098208,3,31.420325030145694,166.6935267678794,17.807600128321404,358.19862869757867,18.83155678676387,404.2766876602833,19.37873928899109,,,,0.15093532958202086,0.016417066997503837,0.08623032792290544,2013.0,-0.031760633893503754,2015.0
PO018003NR0009,2015,ALBONESE,,,,,,,,0.0098705748133943,0.0113889636106746,0.0114924950417237,15,12,0.0775753652450503,0.097992790691679,0.094622503113216,66,54,0.1191746956885171,0.1389771901035581,0.1372968197605287,324,273,PO018003NR0009,477798.0,5014771.0,GWB ISS MPP,69.78503921653756,3,31.420325030145694,65.56966279628682,3,31.420325030145694,28.04058437938427,3,31.420325030145694,16.93968007685556,3,31.420325030145694,62.79872896432084,3,31.420325030145694,13.769876787534713,3,31.420325030145694,18.60041229799391,3,31.420325030145694,22.646812779311205,3,31.420325030145694,26.91063626747834,3,31.420325030145694,23.09434877129657,3,31.420325030145694,163.39528639220862,18.341906244430646,180.33496646906417,20.519206496188666,243.13369543338501,21.040967349315103,,,,0.15093532958202086,-0.031760633893503754,0.016417066997503837,2014.0,-0.047844931744846456,2016.0
PO018003NR0009,2016,ALBONESE,2.18,1.455,0.7,0.87,0.75,0.38,0.7,0.008429179559203,0.0090312638134318,0.0104157899703649,15,12,0.065522113315292,0.074516175369615,0.0829644591912245,69,54,0.1030903978371744,0.115489675947485,0.1186242207240879,329,273,PO018003NR0009,477798.0,5014771.0,GWB ISS MPP,14.40138815422295,3,31.420325030145694,102.05093275323765,3,31.420325030145694,45.938829754267,3,31.420325030145694,97.91616749953927,3,31.420325030145694,43.34690897146926,3,31.420325030145694,14.759107620721851,3,31.420325030145694,16.929046840662846,3,31.420325030145694,21.58375486121659,3,31.420325030145694,24.389267735620997,3,31.420325030145694,22.94715229073286,3,31.420325030145694,162.3911506617276,17.7482013903154,260.3073181612669,19.435685461663542,303.65422713273614,20.147159132912883,-0.7050000000000001,-1.0750000000000002,-0.7550000000000001,0.15093532958202086,-0.047844931744846456,-0.031760633893503754,2015.0,-0.07463702751737296,2017.0
PO018003NR0009,2017,ALBONESE,2.18,1.8725,0.65,1.6949999999999998,0.65,0.61,1.15,0.0141339085781429,0.0141175632279122,0.0163286616343409,15,12,0.0480714733173062,0.0526747293477975,0.0600833410716236,68,54,0.0762983020646479,0.0833512198376852,0.0884019801029566,327,273,PO018003NR0009,477798.0,5014771.0,GWB ISS MPP,34.86108354477269,3,31.420325030145694,65.83670127851634,3,31.420325030145694,53.97442995303483,3,31.420325030145694,18.654807407011855,3,31.420325030145694,0.020896671907232427,3,31.420325030145694,14.226921480586658,3,31.420325030145694,18.261694833827153,3,31.420325030145694,23.76143328052531,3,31.420325030145694,24.217196931099082,3,31.420325030145694,24.318786047648487,3,31.420325030145694,154.67221477632387,18.744650359142863,173.3270221833357,20.13521547168912,173.34791885524294,20.982867026295263,-1.2225000000000001,-1.2625000000000002,-0.7225000000000001,0.15093532958202086,-0.07463702751737296,-0.047844931744846456,2016.0,0.009485022967119838,2018.0
