"doi","version","filename","local_path","size_bytes","expected_md5","calculated_md5","checksum_match","verified_date"
"10.5281/zenodo.4313730","2021.01","ffavg_2021.csv","data\raw\RiceFloodIT\ffavg_2021.csv","4010685","05897144108f9cd0f06756f6eb794611","05897144108f9cd0f06756f6eb794611","True","2026-08-29"
"10.5281/zenodo.4313730","2021.01","ws_2021.csv","data\raw\RiceFloodIT\ws_2021.csv","5208","d6793d6c9ae2190e4e58c030f6ba161a","d6793d6c9ae2190e4e58c030f6ba161a","True","2026-08-29"
